drug,ref,variable,value,units,pgm,steintweak,
panitumumab,Ma09,Vc,3.95,L,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,Vp,2.59,L,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,Q,0.39,L/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,CL,0.273,L/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,kcp,0.098734,1/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,kpc,0.15058,1/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,ke,0.069114,1/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,keD,0.069114,1/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,Vm,12.1,mg/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,Km,0.426,mg/L,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,k12,0.098734,1/day,get_panitumumab_Ma09_param.m,0,
panitumumab,Ma09,k21,0.098734,1/day,get_panitumumab_Ma09_param.m,0,
