TYPENAME,NAME,STARTIME,ENDTIME,ROUTE,VALUE,TIMEUNIT,VALUNIT,DOSEGRP
dose,dose,0,0.0625,infusion,5,day,mg/kg,5
pk,pk,0.259259259,,,112.8461604,day,ug/ml,5
pk,pk,1.037037037,,,96.33876996,day,ug/ml,5
pk,pk,2.074074074,,,86.02616378,day,ug/ml,5
pk,pk,6.740740741,,,51.66072035,day,ug/ml,5
pk,pk,14,,,37.2706422,day,ug/ml,5
pk,pk,28,,,22.93577982,day,ug/ml,5
pk,pk,42,,,14.10550459,day,ug/ml,5
pk,pk,56,,,8.71559633,day,ug/ml,5
pk,pk,70,,,5.389908257,day,ug/ml,5
pk,pk,84,,,3.440366972,day,ug/ml,5
pd,target,0.111345529,,,38.46153846,day,pg/ml,5
pd,target,0.215695528,,,85.97285068,day,pg/ml,5
pd,target,0.965966188,,,380.0904977,day,pg/ml,5
pd,target,1.90103545,,,565.6108597,day,pg/ml,5
pd,target,6.876606612,,,660.6334842,day,pg/ml,5
pd,target,13.88379646,,,563.3484163,day,pg/ml,5
pd,target,27.88301918,,,398.1900452,day,pg/ml,5
pd,target,42.12708547,,,257.918552,day,pg/ml,5
pd,target,56.0785054,,,185.520362,day,pg/ml,5
pd,target,70.15875968,,,113.1221719,day,pg/ml,5
pd,target,84.09502262,,,70.13574661,day,pg/ml,5
