Parameter,Units,Atezolizumab,Bevacizumab,Pembrolizumab,Trastuzumab
k12D,1/d,0.16646341463414635,0.42724458204334365,0.22844827586206898,0.1714285714285714
k13D,1/d,0.00458576899818585,0.013782083291720764,0.0056268048241888925,0.013186813186813185
k13DM,1/d,0.048,0,0.048,0
k13DS,1/d,0.00458576899818585,0.013782083291720764,0.0056268048241888925,0
k13M,1/d,0.048,0,0.048,0
k13S,1/d,0.0091715379963717,0.02756416658344153,0.011253609648377785,0
k21D,1/d,0.15041322314049588,0.4451612903225806,0.19581280788177344,0.2769230769230769
k31D,1/d,0.45123966942148763,1.335483870967742,0.5874384236453203,0.8307692307692307
k31DM,1/d,5.5200000000000005,0,5.5200000000000005,0
k31DS,1/d,0.45123966942148763,1.335483870967742,0.5874384236453203,1
k31M,1/d,5.5200000000000005,0,5.5200000000000005,0
k31S,1/d,0.9024793388429753,2.670967741935484,1.1748768472906406,1
keD1,1/d,0.06097560975609757,0.05572755417956656,0.06321839080459771,0.10476190476190476
keD3,1/d,0,0,0,0
keDM1,1/d,0,1,0,1
keDM3,1/d,0,1,0,2.8512
keDS1,1/d,0.005,0.07,0.06321839080459771,1
keDS3,1/d,0,0.07,0,1
keM1,1/d,0,1,0,1
keM3,1/d,0,1,0,2.8512
keS1,1/d,0.3,7,0.4656,1
keS3,1/d,0,7,0,1
koff1,1/d,3,2,3.4559999999999995,30.240000000000002
koff3,1/d,3,2,3.4559999999999995,30.240000000000002
kon1,1/(nM*d),1.2000000000000002,36,8.16,60.480000000000004
kon3,1/(nM*d),1.2000000000000002,36,8.16,60.480000000000004
kshedDM1,1/d,6,1,6,0
kshedDM3,1/d,6,1,6,0
kshedM1,1/d,3,1,3,0
kshedM3,1/d,3,1,3,0
ksynM1,nM/d,0.44850498338870437,0,0.02990033222591362,0
ksynM3,nM/d,22.42524916943522,0,1.4950166112956813,2366.496
ksynS1,nM/d,0,0.014,0,0
ksynS3,nM/d,0,0.1,0,0
VD1,L,3.28,3.23,3.48,2.1
VD2,L,3.63,3.1,4.06,1.3
VD3,L,0.1,0.1,0.1,0.1
VDM1,L,3.28,3.23,3.48,2.1
VDM3,L,0.1,0.1,0.1,0.1
VDS1,L,3.28,3.23,3.48,2.1
VDS3,L,0.1,0.1,0.1,0.1
VM1,L,3.28,3.23,3.48,2.1
VM3,L,0.1,0.1,0.1,0.1
VS1,L,3.28,3.23,3.48,2.1
VS3,L,0.1,0.1,0.1,0.1
